Date,Open,High,Low,Close,Volume,Chg%
28-Nov-23,11.33,12.4925,11.065,12.175,0,7.46%
29-Nov-23,12.175,14.46,11.3325,12.7075,0,4.37%
30-Nov-23,12.7075,13.3525,11.7625,12.69,0,-0.14%
01-Dec-23,12.69,12.755,11.7775,12.3825,0,-2.42%
04-Dec-23,12.3825,13.16,11.34,12.9925,0,4.93%
05-Dec-23,12.9925,13.8825,11.475,13.4575,0,3.58%
06-Dec-23,13.4575,14.0875,12.6875,13.74,0,2.10%
07-Dec-23,13.74,13.74,12.545,12.6725,0,-7.77%
08-Dec-23,12.6725,12.875,12.135,12.47,0,-1.60%
11-Dec-23,12.47,13.1225,12.2275,12.7575,0,2.31%
12-Dec-23,12.7575,12.8675,11.6925,12.7125,0,-0.35%
13-Dec-23,12.7125,12.8175,11.54,12.065,0,-5.09%
14-Dec-23,12.065,12.5125,11,12.32,0,2.11%
15-Dec-23,12.32,13.3425,10.8,13.1275,0,6.55%
18-Dec-23,13.1275,14.1175,13.125,13.9,0,5.88%
19-Dec-23,13.9,14.12,13.5525,13.8675,0,-0.23%
20-Dec-23,13.8675,14.87,12.7775,14.45,0,4.20%
21-Dec-23,14.45,15.01,12.2825,13.7575,0,-4.79%
22-Dec-23,13.7575,13.9875,12.225,13.7075,0,-0.36%
26-Dec-23,13.7075,14.95,13.7075,14.6775,0,7.08%
27-Dec-23,14.6775,15.7325,14.47,15.5575,0,6.00%
28-Dec-23,15.5575,16.47,14.9625,15.14,0,-2.68%
29-Dec-23,15.14,15.4275,14.3725,14.5025,0,-4.21%
01-Jan-24,14.5025,14.8675,14.3275,14.68,0,1.22%
02-Jan-24,14.68,15.08,14.2425,14.58,0,-0.68%
03-Jan-24,14.58,14.78,14.0225,14.0975,0,-3.31%
04-Jan-24,14.0975,14.2075,13.2125,13.33,0,-5.44%
05-Jan-24,13.33,13.4675,12.4875,12.63,0,-5.25%
08-Jan-24,12.63,13.595,12.63,13.4625,0,6.59%
09-Jan-24,13.4625,13.505,12.775,13.2625,0,-1.49%
10-Jan-24,13.2625,14.5575,12.81,12.97,0,-2.21%
11-Jan-24,12.97,13.19,12.63,12.7675,0,-1.56%
12-Jan-24,12.7675,13.285,12.42,13.1,0,2.60%
15-Jan-24,13.1,13.885,11.7875,13.785,0,5.23%
16-Jan-24,13.785,14.0425,12.485,13.5725,0,-1.54%
17-Jan-24,13.5725,15.23,12.715,15.08,0,11.11%
18-Jan-24,15.08,15.705,12.98,14.07,0,-6.70%
19-Jan-24,14.07,14.1125,13.6775,13.8775,0,-1.37%
20-Jan-24,13.0975,14.2475,13.0975,13.715,0,-1.17%
23-Jan-24,13.8025,15.405,12.195,14.8525,0,8.29%
24-01-24,14.8525,15.6475,14.03,14.375,0,-3.21%
